model,prompt_id,variant,filename,filepath,prompt_text
gpt,p01,A,p01_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p01_A.png,"A red apple on a wooden table, top-down overhead view, centered composition"
gpt,p01,B,p01_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p01_B.png,"A red apple on a wooden table, eye-level front view, medium shot"
gpt,p01,C,p01_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p01_C.png,"A red apple on a wooden table, low-angle view from below, wide shot"
gpt,p01,D,p01_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p01_D.png,"A red apple on a wooden table, extreme close-up, shallow depth of field"
gpt,p02,A,p02_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p02_A.png,"A golden retriever sitting in a park, top-down overhead view, centered composition"
gpt,p02,B,p02_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p02_B.png,"A golden retriever sitting in a park, eye-level front view, medium shot"
gpt,p02,C,p02_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p02_C.png,"A golden retriever sitting in a park, low-angle view from below, wide shot"
gpt,p02,D,p02_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p02_D.png,"A golden retriever sitting in a park, extreme close-up, shallow depth of field"
gpt,p03,A,p03_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p03_A.png,"A blue sports car on a highway, top-down overhead view, centered composition"
gpt,p03,B,p03_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p03_B.png,"A blue sports car on a highway, eye-level front view, medium shot"
gpt,p03,C,p03_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p03_C.png,"A blue sports car on a highway, low-angle view from below, wide shot"
gpt,p03,D,p03_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p03_D.png,"A blue sports car on a highway, extreme close-up, shallow depth of field"
gpt,p04,A,p04_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p04_A.png,"A white ceramic teacup on a marble surface, top-down overhead view, centered composition"
gpt,p04,B,p04_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p04_B.png,"A white ceramic teacup on a marble surface, eye-level front view, medium shot"
gpt,p04,C,p04_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p04_C.png,"A white ceramic teacup on a marble surface, low-angle view from below, wide shot"
gpt,p04,D,p04_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p04_D.png,"A white ceramic teacup on a marble surface, extreme close-up, shallow depth of field"
gpt,p05,A,p05_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p05_A.png,"A mountain landscape at sunset, top-down overhead view, centered composition"
gpt,p05,B,p05_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p05_B.png,"A mountain landscape at sunset, eye-level front view, medium shot"
gpt,p05,C,p05_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p05_C.png,"A mountain landscape at sunset, low-angle view from below, wide shot"
gpt,p05,D,p05_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p05_D.png,"A mountain landscape at sunset, extreme close-up, shallow depth of field"
gpt,p06,A,p06_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p06_A.png,"A busy street market in Tokyo at night, top-down overhead view, centered composition"
gpt,p06,B,p06_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p06_B.png,"A busy street market in Tokyo at night, eye-level front view, medium shot"
gpt,p06,C,p06_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p06_C.png,"A busy street market in Tokyo at night, low-angle view from below, wide shot"
gpt,p06,D,p06_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p06_D.png,"A busy street market in Tokyo at night, extreme close-up, shallow depth of field"
gpt,p07,A,p07_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p07_A.png,"A futuristic city skyline with flying cars, top-down overhead view, centered composition"
gpt,p07,B,p07_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p07_B.png,"A futuristic city skyline with flying cars, eye-level front view, medium shot"
gpt,p07,C,p07_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p07_C.png,"A futuristic city skyline with flying cars, low-angle view from below, wide shot"
gpt,p07,D,p07_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p07_D.png,"A futuristic city skyline with flying cars, extreme close-up, shallow depth of field"
gpt,p08,A,p08_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p08_A.png,"A medieval castle surrounded by fog, top-down overhead view, centered composition"
gpt,p08,B,p08_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p08_B.png,"A medieval castle surrounded by fog, eye-level front view, medium shot"
gpt,p08,C,p08_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p08_C.png,"A medieval castle surrounded by fog, low-angle view from below, wide shot"
gpt,p08,D,p08_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p08_D.png,"A medieval castle surrounded by fog, extreme close-up, shallow depth of field"
gpt,p09,A,p09_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p09_A.png,"An underwater coral reef with colorful fish, top-down overhead view, centered composition"
gpt,p09,B,p09_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p09_B.png,"An underwater coral reef with colorful fish, eye-level front view, medium shot"
gpt,p09,C,p09_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p09_C.png,"An underwater coral reef with colorful fish, low-angle view from below, wide shot"
gpt,p09,D,p09_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p09_D.png,"An underwater coral reef with colorful fish, extreme close-up, shallow depth of field"
gpt,p10,A,p10_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p10_A.png,"A classroom with students taking an exam, top-down overhead view, centered composition"
gpt,p10,B,p10_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p10_B.png,"A classroom with students taking an exam, eye-level front view, medium shot"
gpt,p10,C,p10_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p10_C.png,"A classroom with students taking an exam, low-angle view from below, wide shot"
gpt,p10,D,p10_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p10_D.png,"A classroom with students taking an exam, extreme close-up, shallow depth of field"
gpt,p11,A,p11_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p11_A.png,"A cyberpunk street with neon lights, top-down overhead view, centered composition"
gpt,p11,B,p11_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p11_B.png,"A cyberpunk street with neon lights, eye-level front view, medium shot"
gpt,p11,C,p11_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p11_C.png,"A cyberpunk street with neon lights, low-angle view from below, wide shot"
gpt,p11,D,p11_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p11_D.png,"A cyberpunk street with neon lights, extreme close-up, shallow depth of field"
gpt,p12,A,p12_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p12_A.png,"A rainforest waterfall with mist, top-down overhead view, centered composition"
gpt,p12,B,p12_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p12_B.png,"A rainforest waterfall with mist, eye-level front view, medium shot"
gpt,p12,C,p12_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p12_C.png,"A rainforest waterfall with mist, low-angle view from below, wide shot"
gpt,p12,D,p12_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p12_D.png,"A rainforest waterfall with mist, extreme close-up, shallow depth of field"
gpt,p13,A,p13_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p13_A.png,"A portrait in impressionist painting style, top-down overhead view, centered composition"
gpt,p13,B,p13_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p13_B.png,"A portrait in impressionist painting style, eye-level front view, medium shot"
gpt,p13,C,p13_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p13_C.png,"A portrait in impressionist painting style, low-angle view from below, wide shot"
gpt,p13,D,p13_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p13_D.png,"A portrait in impressionist painting style, extreme close-up, shallow depth of field"
gpt,p14,A,p14_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p14_A.png,"A surreal dreamscape with floating islands, top-down overhead view, centered composition"
gpt,p14,B,p14_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p14_B.png,"A surreal dreamscape with floating islands, eye-level front view, medium shot"
gpt,p14,C,p14_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p14_C.png,"A surreal dreamscape with floating islands, low-angle view from below, wide shot"
gpt,p14,D,p14_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p14_D.png,"A surreal dreamscape with floating islands, extreme close-up, shallow depth of field"
gpt,p15,A,p15_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p15_A.png,"A minimalist black and white abstract artwork, top-down overhead view, centered composition"
gpt,p15,B,p15_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p15_B.png,"A minimalist black and white abstract artwork, eye-level front view, medium shot"
gpt,p15,C,p15_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p15_C.png,"A minimalist black and white abstract artwork, low-angle view from below, wide shot"
gpt,p15,D,p15_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p15_D.png,"A minimalist black and white abstract artwork, extreme close-up, shallow depth of field"
jimeng,p01,A,p01_A.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p01_A.png,"A red apple on a wooden table, top-down overhead view, centered composition"
jimeng,p01,B,p01_B.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p01_B.png,"A red apple on a wooden table, eye-level front view, medium shot"
jimeng,p01,C,p01_C.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p01_C.png,"A red apple on a wooden table, low-angle view from below, wide shot"
jimeng,p01,D,p01_D.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p01_D.png,"A red apple on a wooden table, extreme close-up, shallow depth of field"
jimeng,p02,A,p02_A.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p02_A.png,"A golden retriever sitting in a park, top-down overhead view, centered composition"
jimeng,p02,B,p02_B.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p02_B.png,"A golden retriever sitting in a park, eye-level front view, medium shot"
jimeng,p02,C,p02_C.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p02_C.png,"A golden retriever sitting in a park, low-angle view from below, wide shot"
jimeng,p02,D,p02_D.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p02_D.png,"A golden retriever sitting in a park, extreme close-up, shallow depth of field"
jimeng,p03,A,p03_A.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p03_A.png,"A blue sports car on a highway, top-down overhead view, centered composition"
jimeng,p03,B,p03_B.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p03_B.png,"A blue sports car on a highway, eye-level front view, medium shot"
jimeng,p03,C,p03_C.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p03_C.png,"A blue sports car on a highway, low-angle view from below, wide shot"
jimeng,p03,D,p03_D.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p03_D.png,"A blue sports car on a highway, extreme close-up, shallow depth of field"
jimeng,p04,A,p04_A.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p04_A.png,"A white ceramic teacup on a marble surface, top-down overhead view, centered composition"
jimeng,p04,B,p04_B.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p04_B.png,"A white ceramic teacup on a marble surface, eye-level front view, medium shot"
jimeng,p04,C,p04_C.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p04_C.png,"A white ceramic teacup on a marble surface, low-angle view from below, wide shot"
jimeng,p04,D,p04_D.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p04_D.png,"A white ceramic teacup on a marble surface, extreme close-up, shallow depth of field"
jimeng,p05,A,p05_A.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p05_A.png,"A mountain landscape at sunset, top-down overhead view, centered composition"
jimeng,p05,B,p05_B.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p05_B.png,"A mountain landscape at sunset, eye-level front view, medium shot"
