model,prompt_id,variant,filename,filepath,prompt_text,clip_score
gpt,p01,A,p01_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p01_A.png,"A red apple on a wooden table, top-down overhead view, centered composition",0.30932846665382385
gpt,p01,B,p01_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p01_B.png,"A red apple on a wooden table, eye-level front view, medium shot",0.3245079815387726
gpt,p01,C,p01_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p01_C.png,"A red apple on a wooden table, low-angle view from below, wide shot",0.3348787724971771
gpt,p01,D,p01_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p01_D.png,"A red apple on a wooden table, extreme close-up, shallow depth of field",0.3139041066169739
gpt,p02,A,p02_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p02_A.png,"A golden retriever sitting in a park, top-down overhead view, centered composition",0.30239593982696533
gpt,p02,B,p02_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p02_B.png,"A golden retriever sitting in a park, eye-level front view, medium shot",0.32620877027511597
gpt,p02,C,p02_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p02_C.png,"A golden retriever sitting in a park, low-angle view from below, wide shot",0.3449399471282959
gpt,p02,D,p02_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p02_D.png,"A golden retriever sitting in a park, extreme close-up, shallow depth of field",0.3051667809486389
gpt,p03,A,p03_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p03_A.png,"A blue sports car on a highway, top-down overhead view, centered composition",0.31487181782722473
gpt,p03,B,p03_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p03_B.png,"A blue sports car on a highway, eye-level front view, medium shot",0.306230753660202
gpt,p03,C,p03_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p03_C.png,"A blue sports car on a highway, low-angle view from below, wide shot",0.3046807050704956
gpt,p03,D,p03_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p03_D.png,"A blue sports car on a highway, extreme close-up, shallow depth of field",0.2997085750102997
gpt,p04,A,p04_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p04_A.png,"A white ceramic teacup on a marble surface, top-down overhead view, centered composition",0.2744656503200531
gpt,p04,B,p04_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p04_B.png,"A white ceramic teacup on a marble surface, eye-level front view, medium shot",0.2768245339393616
gpt,p04,C,p04_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p04_C.png,"A white ceramic teacup on a marble surface, low-angle view from below, wide shot",0.2908507287502289
gpt,p04,D,p04_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p04_D.png,"A white ceramic teacup on a marble surface, extreme close-up, shallow depth of field",0.2673313021659851
gpt,p05,A,p05_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p05_A.png,"A mountain landscape at sunset, top-down overhead view, centered composition",0.3032902479171753
gpt,p05,B,p05_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p05_B.png,"A mountain landscape at sunset, eye-level front view, medium shot",0.28440266847610474
gpt,p05,C,p05_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p05_C.png,"A mountain landscape at sunset, low-angle view from below, wide shot",0.28043267130851746
gpt,p05,D,p05_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p05_D.png,"A mountain landscape at sunset, extreme close-up, shallow depth of field",0.2935870587825775
gpt,p06,A,p06_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p06_A.png,"A busy street market in Tokyo at night, top-down overhead view, centered composition",0.3353135883808136
gpt,p06,B,p06_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p06_B.png,"A busy street market in Tokyo at night, eye-level front view, medium shot",0.32136085629463196
gpt,p06,C,p06_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p06_C.png,"A busy street market in Tokyo at night, low-angle view from below, wide shot",0.3256472945213318
gpt,p06,D,p06_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p06_D.png,"A busy street market in Tokyo at night, extreme close-up, shallow depth of field",0.3059123456478119
gpt,p07,A,p07_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p07_A.png,"A futuristic city skyline with flying cars, top-down overhead view, centered composition",0.3454674184322357
gpt,p07,B,p07_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p07_B.png,"A futuristic city skyline with flying cars, eye-level front view, medium shot",0.3547796607017517
gpt,p07,C,p07_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p07_C.png,"A futuristic city skyline with flying cars, low-angle view from below, wide shot",0.3329106569290161
gpt,p07,D,p07_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p07_D.png,"A futuristic city skyline with flying cars, extreme close-up, shallow depth of field",0.3188878297805786
gpt,p08,A,p08_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p08_A.png,"A medieval castle surrounded by fog, top-down overhead view, centered composition",0.33626803755760193
gpt,p08,B,p08_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p08_B.png,"A medieval castle surrounded by fog, eye-level front view, medium shot",0.2993575930595398
gpt,p08,C,p08_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p08_C.png,"A medieval castle surrounded by fog, low-angle view from below, wide shot",0.30524080991744995
gpt,p08,D,p08_D.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p08_D.png,"A medieval castle surrounded by fog, extreme close-up, shallow depth of field",0.33904874324798584
gpt,p09,A,p09_A.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p09_A.png,"An underwater coral reef with colorful fish, top-down overhead view, centered composition",0.33964240550994873
gpt,p09,B,p09_B.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p09_B.png,"An underwater coral reef with colorful fish, eye-level front view, medium shot",0.34149932861328125
gpt,p09,C,p09_C.png,C:\Users\31918\Desktop\individual project\dataset\gpt\p09_C.png,"An underwater coral reef with colorful fish, low-angle view from below, wide shot",0.33627864718437195
